"Index","ID","Offset","Size","WEMFound"
"0","382402011","0","3846","True"
"1","836859547","3856","3130","True"
"2","353841134","6992","4988","True"
"3","781584840","11984","3176","True"
"4","285607759","15168","6248","True"
"5","240912965","21424","2833","True"
"6","449603267","24272","4211","True"
"7","823705667","28496","3443","True"
"8","371394614","31952","4190","True"
"9","38372339","36144","3010","True"
"10","431481085","39168","3410","True"
"11","1063776406","42592","3629","True"
"12","431551151","46224","4292","True"
"13","140429898","50528","2805","True"
"14","401643321","53344","3127","True"
"15","623153603","56480","3468","True"
"16","410268385","59952","3241","True"
"17","337206063","63200","3974","True"
"18","185096493","67184","5910","True"
"19","123995673","73104","3529","True"
"20","717250427","76640","4239","True"
"21","429713486","80880","3253","True"
"22","632520951","84144","3054","True"
"23","860084154","87200","3036","True"
"24","385288379","90240","2980","True"
"25","233438342","93232","3480","True"
"26","547039271","96720","2711","True"
"27","130398566","99440","3935","True"
"28","626322069","103376","4627","True"
"29","712654566","108016","3211","True"
"30","575396518","111232","2923","True"
"31","415162792","114160","2662","True"
"32","514246346","116832","3479","True"
"33","201433572","120320","2719","True"
"34","313851490","123040","4644","True"
"35","157056275","127696","2763","True"
"36","246609026","130464","4069","True"
"37","323532677","134544","2764","True"
"38","250104555","137312","3331","True"
"39","3425580","140656","3205","True"
"40","105106109","143872","3264","True"
"41","295197945","147136","3200","True"
"42","846917398","150336","2577","True"
"43","713057920","152928","3809","True"
"44","739960959","156752","3196","True"
"45","202264735","159952","5406","True"
"46","969023310","165360","3582","True"
"47","346829381","168944","3144","True"
"48","272200703","172096","2821","True"
"49","272522425","174928","3123","True"
"50","253212335","178064","2773","True"
"51","536154943","180848","5415","True"
"52","755501008","186272","3267","True"
"53","718012839","189552","2786","True"
"54","874935267","192352","3357","True"
"55","616565789","195712","2599","True"
"56","731848657","198320","2909","True"
"57","795110502","201232","4064","True"
"58","398622759","205296","3727","True"
"59","591196620","209024","4515","True"
"60","322706511","213552","2941","True"
"61","920202335","216496","2580","True"
"62","20696694","219088","3268","True"
"63","448827065","222368","3040","True"
"64","1012272758","225408","3672","True"
"65","458958901","229088","3425","True"
"66","334746582","232528","2713","True"
"67","461795631","235248","4280","True"
"68","647942636","239536","2912","True"
"69","655167511","242448","3840","True"
"70","142501603","246288","3134","True"
"71","723186224","249424","3814","True"
"72","898001860","253248","3152","True"
"73","558462656","256400","3023","True"
"74","831866575","259424","2336","True"
"75","115875410","261760","3137","True"
"76","28397653","264912","2186","True"
"77","289836723","267104","2955","True"
"78","508384238","270064","2413","True"
"79","159921588","272480","3192","True"
"80","434389044","275680","2728","True"
"81","441080534","278416","3484","True"
"82","802166597","281904","2286","True"
"83","99395565","284192","3353","True"
"84","1004298845","287552","2448","True"
"85","110723765","290000","3106","True"
"86","704692640","293120","2941","True"
"87","585322642","296064","2576","True"
"88","324025043","298640","2892","True"
"89","1040911784","301536","3352","True"
"90","822386335","304896","2398","True"
"91","136987909","307296","2684","True"
"92","305371706","309984","2425","True"
"93","253103376","312416","2702","True"
"94","276506526","315120","3261","True"
"95","833202924","318384","3225","True"
"96","911543220","321616","3703","True"
"97","833742253","325328","2985","True"
"98","891536372","328320","5115","True"
"99","366831874","333440","3146","True"
"100","846685508","336592","3379","True"
"101","697282788","339984","3044","True"
"102","117431200","343040","5062","True"
"103","237528681","348112","2716","True"
"104","697193758","350832","4151","True"
