"Index","Type","ObjectID","SourceID","UFileID","ParentIndex","ParentType","WEMFound","WEMFile","WEMSize"
"109","HircChunk","","638460096","638460096","-1","","True","638460096.wem","22801"
"287","CAkSound","","1011213518","1011213518","109","HircChunk","True","1011213518.wem","44574"
"288","SoundInitialValues","","1011213518","1011213518","287","CAkSound","True","1011213518.wem","44574"
"289","AkBankSourceData","","1011213518","1011213518","288","SoundInitialValues","True","1011213518.wem","44574"
"290","AkMediaInformation","","1011213518","1011213518","289","AkBankSourceData","True","1011213518.wem","44574"
"302","CAkSound","","884549210","884549210","109","HircChunk","True","884549210.wem","76477"
"303","SoundInitialValues","","884549210","884549210","302","CAkSound","True","884549210.wem","76477"
"304","AkBankSourceData","","884549210","884549210","303","SoundInitialValues","True","884549210.wem","76477"
"305","AkMediaInformation","","884549210","884549210","304","AkBankSourceData","True","884549210.wem","76477"
"332","CAkSound","","572354245","572354245","109","HircChunk","True","572354245.wem","22381"
"333","SoundInitialValues","","572354245","572354245","332","CAkSound","True","572354245.wem","22381"
"334","AkBankSourceData","","572354245","572354245","333","SoundInitialValues","True","572354245.wem","22381"
"335","AkMediaInformation","","572354245","572354245","334","AkBankSourceData","True","572354245.wem","22381"
"346","CAkSound","","791924021","791924021","109","HircChunk","True","791924021.wem","292734"
"347","SoundInitialValues","","791924021","791924021","346","CAkSound","True","791924021.wem","292734"
"348","AkBankSourceData","","791924021","791924021","347","SoundInitialValues","True","791924021.wem","292734"
"349","AkMediaInformation","","791924021","791924021","348","AkBankSourceData","True","791924021.wem","292734"
"361","CAkSound","","110570427","110570427","109","HircChunk","True","110570427.wem","32535"
"362","SoundInitialValues","","110570427","110570427","361","CAkSound","True","110570427.wem","32535"
"363","AkBankSourceData","","110570427","110570427","362","SoundInitialValues","True","110570427.wem","32535"
"364","AkMediaInformation","","110570427","110570427","363","AkBankSourceData","True","110570427.wem","32535"
"375","CAkSound","","917369937","917369937","109","HircChunk","True","917369937.wem","22869"
"376","SoundInitialValues","","917369937","917369937","375","CAkSound","True","917369937.wem","22869"
"377","AkBankSourceData","","917369937","917369937","376","SoundInitialValues","True","917369937.wem","22869"
"378","AkMediaInformation","","917369937","917369937","377","AkBankSourceData","True","917369937.wem","22869"
"404","CAkSound","","85455385","85455385","109","HircChunk","True","85455385.wem","53967"
"405","SoundInitialValues","","85455385","85455385","404","CAkSound","True","85455385.wem","53967"
"406","AkBankSourceData","","85455385","85455385","405","SoundInitialValues","True","85455385.wem","53967"
"407","AkMediaInformation","","85455385","85455385","406","AkBankSourceData","True","85455385.wem","53967"
"419","CAkSound","","1050544152","1050544152","109","HircChunk","True","1050544152.wem","22595"
"420","SoundInitialValues","","1050544152","1050544152","419","CAkSound","True","1050544152.wem","22595"
"421","AkBankSourceData","","1050544152","1050544152","420","SoundInitialValues","True","1050544152.wem","22595"
"422","AkMediaInformation","","1050544152","1050544152","421","AkBankSourceData","True","1050544152.wem","22595"
"434","CAkSound","","332168452","332168452","109","HircChunk","True","332168452.wem","18377"
"435","SoundInitialValues","","332168452","332168452","434","CAkSound","True","332168452.wem","18377"
"436","AkBankSourceData","","332168452","332168452","435","SoundInitialValues","True","332168452.wem","18377"
"437","AkMediaInformation","","332168452","332168452","436","AkBankSourceData","True","332168452.wem","18377"
"449","CAkSound","","853338107","853338107","109","HircChunk","True","853338107.wem","274706"
"450","SoundInitialValues","","853338107","853338107","449","CAkSound","True","853338107.wem","274706"
"451","AkBankSourceData","","853338107","853338107","450","SoundInitialValues","True","853338107.wem","274706"
"452","AkMediaInformation","","853338107","853338107","451","AkBankSourceData","True","853338107.wem","274706"
"464","CAkSound","","885837224","885837224","109","HircChunk","True","885837224.wem","40125"
"465","SoundInitialValues","","885837224","885837224","464","CAkSound","True","885837224.wem","40125"
"466","AkBankSourceData","","885837224","885837224","465","SoundInitialValues","True","885837224.wem","40125"
"467","AkMediaInformation","","885837224","885837224","466","AkBankSourceData","True","885837224.wem","40125"
"494","CAkSound","","219721614","219721614","109","HircChunk","True","219721614.wem","22421"
"495","SoundInitialValues","","219721614","219721614","494","CAkSound","True","219721614.wem","22421"
"496","AkBankSourceData","","219721614","219721614","495","SoundInitialValues","True","219721614.wem","22421"
"497","AkMediaInformation","","219721614","219721614","496","AkBankSourceData","True","219721614.wem","22421"
"509","CAkSound","","367584962","367584962","109","HircChunk","True","367584962.wem","23192"
"510","SoundInitialValues","","367584962","367584962","509","CAkSound","True","367584962.wem","23192"
"511","AkBankSourceData","","367584962","367584962","510","SoundInitialValues","True","367584962.wem","23192"
"512","AkMediaInformation","","367584962","367584962","511","AkBankSourceData","True","367584962.wem","23192"
"524","CAkSound","","65816721","65816721","109","HircChunk","True","65816721.wem","38922"
"525","SoundInitialValues","","65816721","65816721","524","CAkSound","True","65816721.wem","38922"
"526","AkBankSourceData","","65816721","65816721","525","SoundInitialValues","True","65816721.wem","38922"
"527","AkMediaInformation","","65816721","65816721","526","AkBankSourceData","True","65816721.wem","38922"
"539","CAkSound","","581175625","581175625","109","HircChunk","True","581175625.wem","23488"
"540","SoundInitialValues","","581175625","581175625","539","CAkSound","True","581175625.wem","23488"
"541","AkBankSourceData","","581175625","581175625","540","SoundInitialValues","True","581175625.wem","23488"
"542","AkMediaInformation","","581175625","581175625","541","AkBankSourceData","True","581175625.wem","23488"
"554","CAkSound","","296028953","296028953","109","HircChunk","True","296028953.wem","22247"
"555","SoundInitialValues","","296028953","296028953","554","CAkSound","True","296028953.wem","22247"
"556","AkBankSourceData","","296028953","296028953","555","SoundInitialValues","True","296028953.wem","22247"
"557","AkMediaInformation","","296028953","296028953","556","AkBankSourceData","True","296028953.wem","22247"
"569","CAkSound","","111938917","111938917","109","HircChunk","True","111938917.wem","108615"
"570","SoundInitialValues","","111938917","111938917","569","CAkSound","True","111938917.wem","108615"
"571","AkBankSourceData","","111938917","111938917","570","SoundInitialValues","True","111938917.wem","108615"
"572","AkMediaInformation","","111938917","111938917","571","AkBankSourceData","True","111938917.wem","108615"
"584","CAkSound","","278962303","278962303","109","HircChunk","True","278962303.wem","92080"
"585","SoundInitialValues","","278962303","278962303","584","CAkSound","True","278962303.wem","92080"
"586","AkBankSourceData","","278962303","278962303","585","SoundInitialValues","True","278962303.wem","92080"
"587","AkMediaInformation","","278962303","278962303","586","AkBankSourceData","True","278962303.wem","92080"
"599","CAkSound","","359395123","359395123","109","HircChunk","True","359395123.wem","22824"
"600","SoundInitialValues","","359395123","359395123","599","CAkSound","True","359395123.wem","22824"
"601","AkBankSourceData","","359395123","359395123","600","SoundInitialValues","True","359395123.wem","22824"
"602","AkMediaInformation","","359395123","359395123","601","AkBankSourceData","True","359395123.wem","22824"
"614","CAkSound","","258432156","258432156","109","HircChunk","True","258432156.wem","46109"
"615","SoundInitialValues","","258432156","258432156","614","CAkSound","True","258432156.wem","46109"
"616","AkBankSourceData","","258432156","258432156","615","SoundInitialValues","True","258432156.wem","46109"
"617","AkMediaInformation","","258432156","258432156","616","AkBankSourceData","True","258432156.wem","46109"
"629","CAkSound","","507868355","507868355","109","HircChunk","True","507868355.wem","38516"
"630","SoundInitialValues","","507868355","507868355","629","CAkSound","True","507868355.wem","38516"
"631","AkBankSourceData","","507868355","507868355","630","SoundInitialValues","True","507868355.wem","38516"
"632","AkMediaInformation","","507868355","507868355","631","AkBankSourceData","True","507868355.wem","38516"
"644","CAkSound","","187877902","187877902","109","HircChunk","True","187877902.wem","23061"
"645","SoundInitialValues","","187877902","187877902","644","CAkSound","True","187877902.wem","23061"
"646","AkBankSourceData","","187877902","187877902","645","SoundInitialValues","True","187877902.wem","23061"
"647","AkMediaInformation","","187877902","187877902","646","AkBankSourceData","True","187877902.wem","23061"
"659","CAkSound","","631551399","631551399","109","HircChunk","True","631551399.wem","63685"
"660","SoundInitialValues","","631551399","631551399","659","CAkSound","True","631551399.wem","63685"
"661","AkBankSourceData","","631551399","631551399","660","SoundInitialValues","True","631551399.wem","63685"
"662","AkMediaInformation","","631551399","631551399","661","AkBankSourceData","True","631551399.wem","63685"
"674","CAkSound","","452907922","452907922","109","HircChunk","True","452907922.wem","22722"
"675","SoundInitialValues","","452907922","452907922","674","CAkSound","True","452907922.wem","22722"
"676","AkBankSourceData","","452907922","452907922","675","SoundInitialValues","True","452907922.wem","22722"
"677","AkMediaInformation","","452907922","452907922","676","AkBankSourceData","True","452907922.wem","22722"
"689","CAkSound","","622869614","622869614","109","HircChunk","True","622869614.wem","61345"
"690","SoundInitialValues","","622869614","622869614","689","CAkSound","True","622869614.wem","61345"
"691","AkBankSourceData","","622869614","622869614","690","SoundInitialValues","True","622869614.wem","61345"
"692","AkMediaInformation","","622869614","622869614","691","AkBankSourceData","True","622869614.wem","61345"
"704","CAkSound","","941504960","941504960","109","HircChunk","True","941504960.wem","69794"
"705","SoundInitialValues","","941504960","941504960","704","CAkSound","True","941504960.wem","69794"
"706","AkBankSourceData","","941504960","941504960","705","SoundInitialValues","True","941504960.wem","69794"
"707","AkMediaInformation","","941504960","941504960","706","AkBankSourceData","True","941504960.wem","69794"
"719","CAkSound","","396856693","396856693","109","HircChunk","True","396856693.wem","37711"
"720","SoundInitialValues","","396856693","396856693","719","CAkSound","True","396856693.wem","37711"
"721","AkBankSourceData","","396856693","396856693","720","SoundInitialValues","True","396856693.wem","37711"
"722","AkMediaInformation","","396856693","396856693","721","AkBankSourceData","True","396856693.wem","37711"
"749","CAkSound","","291892974","291892974","109","HircChunk","True","291892974.wem","70033"
"750","SoundInitialValues","","291892974","291892974","749","CAkSound","True","291892974.wem","70033"
"751","AkBankSourceData","","291892974","291892974","750","SoundInitialValues","True","291892974.wem","70033"
"752","AkMediaInformation","","291892974","291892974","751","AkBankSourceData","True","291892974.wem","70033"
"778","CAkSound","","170699724","170699724","109","HircChunk","True","170699724.wem","288731"
"779","SoundInitialValues","","170699724","170699724","778","CAkSound","True","170699724.wem","288731"
"780","AkBankSourceData","","170699724","170699724","779","SoundInitialValues","True","170699724.wem","288731"
"781","AkMediaInformation","","170699724","170699724","780","AkBankSourceData","True","170699724.wem","288731"
"808","CAkSound","","644391300","644391300","109","HircChunk","True","644391300.wem","78460"
"809","SoundInitialValues","","644391300","644391300","808","CAkSound","True","644391300.wem","78460"
"810","AkBankSourceData","","644391300","644391300","809","SoundInitialValues","True","644391300.wem","78460"
"811","AkMediaInformation","","644391300","644391300","810","AkBankSourceData","True","644391300.wem","78460"
"838","CAkSound","","227830401","227830401","109","HircChunk","True","227830401.wem","266615"
"839","SoundInitialValues","","227830401","227830401","838","CAkSound","True","227830401.wem","266615"
"840","AkBankSourceData","","227830401","227830401","839","SoundInitialValues","True","227830401.wem","266615"
"841","AkMediaInformation","","227830401","227830401","840","AkBankSourceData","True","227830401.wem","266615"
"868","CAkSound","","28397653","1417353184","109","HircChunk","True","28397653.wem","2186"
"869","SoundInitialValues","","28397653","1417353184","868","CAkSound","True","28397653.wem","2186"
"870","AkBankSourceData","","28397653","1417353184","869","SoundInitialValues","True","28397653.wem","2186"
"871","AkMediaInformation","","28397653","1417353184","870","AkBankSourceData","True","28397653.wem","2186"
"883","CAkSound","","831866575","831866575","109","HircChunk","True","831866575.wem","48861"
"884","SoundInitialValues","","831866575","831866575","883","CAkSound","True","831866575.wem","48861"
"885","AkBankSourceData","","831866575","831866575","884","SoundInitialValues","True","831866575.wem","48861"
"886","AkMediaInformation","","831866575","831866575","885","AkBankSourceData","True","831866575.wem","48861"
"897","CAkSound","","305371706","305371706","109","HircChunk","True","305371706.wem","23423"
