"Index","Type","ObjectID","DomID","Ix","ParentIndex","ParentType","SourceID","UFileID","FieldCount","Fields"
"0","BankHeader","","","","-1","","","","8","dwTag=b&apos;BKHD&apos; | dwChunkSize=28 | dwBankGeneratorVersion=88 | dwSoundBankID=1417353184 | dwLanguageID=12 | bFeedbackInBank=0 | dwProjectID=168 | padding=8"
"1","AkBankHeader","","","","0","BankHeader","","","6","dwBankGeneratorVersion=88 | dwSoundBankID=1417353184 | dwLanguageID=12 | bFeedbackInBank=0 | dwProjectID=168 | padding=8"
"2","MediaIndex","382402011","","","-1","","","","317","dwTag=b&apos;DIDX&apos; | dwChunkSize=1260 | id=382402011 | uOffset=0 | uSize=3846 | id=836859547 | uOffset=3856 | uSize=3130 | id=353841134 | uOffset=6992 | uSize=4988 | id=781584840 | uOffset=11984 | uSize=3176 | id=285607759 | uOffset=15168 | uSize=6248 | id=240912965 | uOffset=21424 | uSize=2833 | id=449603267 | uOffset=24272 | uSize=4211 | id=823705667 | uOffset=28496 | uSize=3443 | id=371394614 | uOffset=31952 | uSize=4190 | id=38372339 | uOffset=36144 | uSize=3010 | id=431481085 | uOffset=39168 | uSize=3410 | id=1063776406 | uOffset=42592 | uSize=3629 | id=431551151 | uOffset=46224 | uSize=4292 | id=140429898 | uOffset=50528 | uSize=2805 | id=401643321 | uOffset=53344 | uSize=3127 | id=623153603 | uOffset=56480 | uSize=3468 | id=410268385 | uOffset=59952 | uSize=3241 | id=337206063 | uOffset=63200 | uSize=3974 | id=185096493 | uOffset=67184 | uSize=5910 | id=123995673 | uOffset=73104 | uSize=3529 | id=717250427 | uOffset=76640 | uSize=4239 | id=429713486 | uOffset=80880 | uSize=3253 | id=632520951 | uOffset=84144 | uSize=3054 | id=860084154 | uOffset=87200 | uSize=3036 | id=385288379 | uOffset=90240 | uSize=2980 | id=233438342 | uOffset=93232 | uSize=3480 | id=547039271 | uOffset=96720 | uSize=2711 | id=130398566 | uOffset=99440 | uSize=3935 | id=626322069 | uOffset=103376 | uSize=4627 | id=712654566 | uOffset=108016 | uSize=3211 | id=575396518 | uOffset=111232 | uSize=2923 | id=415162792 | uOffset=114160 | uSize=2662 | id=514246346 | uOffset=116832 | uSize=3479 | id=201433572 | uOffset=120320 | uSize=2719 | id=313851490 | uOffset=123040 | uSize=4644 | id=157056275 | uOffset=127696 | uSize=2763 | id=246609026 | uOffset=130464 | uSize=4069 | id=323532677 | uOffset=134544 | uSize=2764 | id=250104555 | uOffset=137312 | uSize=3331 | id=3425580 | uOffset=140656 | uSize=3205 | id=105106109 | uOffset=143872 | uSize=3264 | id=295197945 | uOffset=147136 | uSize=3200 | id=846917398 | uOffset=150336 | uSize=2577 | id=713057920 | uOffset=152928 | uSize=3809 | id=739960959 | uOffset=156752 | uSize=3196 | id=202264735 | uOffset=159952 | uSize=5406 | id=969023310 | uOffset=165360 | uSize=3582 | id=346829381 | uOffset=168944 | uSize=3144 | id=272200703 | uOffset=172096 | uSize=2821 | id=272522425 | uOffset=174928 | uSize=3123 | id=253212335 | uOffset=178064 | uSize=2773 | id=536154943 | uOffset=180848 | uSize=5415 | id=755501008 | uOffset=186272 | uSize=3267 | id=718012839 | uOffset=189552 | uSize=2786 | id=874935267 | uOffset=192352 | uSize=3357 | id=616565789 | uOffset=195712 | uSize=2599 | id=731848657 | uOffset=198320 | uSize=2909 | id=795110502 | uOffset=201232 | uSize=4064 | id=398622759 | uOffset=205296 | uSize=3727 | id=591196620 | uOffset=209024 | uSize=4515 | id=322706511 | uOffset=213552 | uSize=2941 | id=920202335 | uOffset=216496 | uSize=2580 | id=20696694 | uOffset=219088 | uSize=3268 | id=448827065 | uOffset=222368 | uSize=3040 | id=1012272758 | uOffset=225408 | uSize=3672 | id=458958901 | uOffset=229088 | uSize=3425 | id=334746582 | uOffset=232528 | uSize=2713 | id=461795631 | uOffset=235248 | uSize=4280 | id=647942636 | uOffset=239536 | uSize=2912 | id=655167511 | uOffset=242448 | uSize=3840 | id=142501603 | uOffset=246288 | uSize=3134 | id=723186224 | uOffset=249424 | uSize=3814 | id=898001860 | uOffset=253248 | uSize=3152 | id=558462656 | uOffset=256400 | uSize=3023 | id=831866575 | uOffset=259424 | uSize=2336 | id=115875410 | uOffset=261760 | uSize=3137 | id=28397653 | uOffset=264912 | uSize=2186 | id=289836723 | uOffset=267104 | uSize=2955 | id=508384238 | uOffset=270064 | uSize=2413 | id=159921588 | uOffset=272480 | uSize=3192 | id=434389044 | uOffset=275680 | uSize=2728 | id=441080534 | uOffset=278416 | uSize=3484 | id=802166597 | uOffset=281904 | uSize=2286 | id=99395565 | uOffset=284192 | uSize=3353 | id=1004298845 | uOffset=287552 | uSize=2448 | id=110723765 | uOffset=290000 | uSize=3106 | id=704692640 | uOffset=293120 | uSize=2941 | id=585322642 | uOffset=296064 | uSize=2576 | id=324025043 | uOffset=298640 | uSize=2892 | id=1040911784 | uOffset=301536 | uSize=3352 | id=822386335 | uOffset=304896 | uSize=2398 | id=136987909 | uOffset=307296 | uSize=2684 | id=305371706 | uOffset=309984 | uSize=2425 | id=253103376 | uOffset=312416 | uSize=2702 | id=276506526 | uOffset=315120 | uSize=3261 | id=833202924 | uOffset=318384 | uSize=3225 | id=911543220 | uOffset=321616 | uSize=3703 | id=833742253 | uOffset=325328 | uSize=2985 | id=891536372 | uOffset=328320 | uSize=5115 | id=366831874 | uOffset=333440 | uSize=3146 | id=846685508 | uOffset=336592 | uSize=3379 | id=697282788 | uOffset=339984 | uSize=3044 | id=117431200 | uOffset=343040 | uSize=5062 | id=237528681 | uOffset=348112 | uSize=2716 | id=697193758 | uOffset=350832 | uSize=4151"
"3","MediaHeader","382402011","","0","2","MediaIndex","","","3","id=382402011 | uOffset=0 | uSize=3846"
"4","MediaHeader","836859547","","1","2","MediaIndex","","","3","id=836859547 | uOffset=3856 | uSize=3130"
"5","MediaHeader","353841134","","2","2","MediaIndex","","","3","id=353841134 | uOffset=6992 | uSize=4988"
"6","MediaHeader","781584840","","3","2","MediaIndex","","","3","id=781584840 | uOffset=11984 | uSize=3176"
"7","MediaHeader","285607759","","4","2","MediaIndex","","","3","id=285607759 | uOffset=15168 | uSize=6248"
"8","MediaHeader","240912965","","5","2","MediaIndex","","","3","id=240912965 | uOffset=21424 | uSize=2833"
"9","MediaHeader","449603267","","6","2","MediaIndex","","","3","id=449603267 | uOffset=24272 | uSize=4211"
