"FromIndex","FromType","FromID","FieldName","FieldType","ToID"
"109","HircChunk","","sourceID","tid","1011213518"
"109","HircChunk","","uFileID","tid","1011213518"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","215037930"
"109","HircChunk","","sourceID","tid","884549210"
"109","HircChunk","","uFileID","tid","884549210"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","215037930"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","723520379"
"109","HircChunk","","ulChildID","tid","759177831"
"109","HircChunk","","sourceID","tid","572354245"
"109","HircChunk","","uFileID","tid","572354245"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","265493503"
"109","HircChunk","","sourceID","tid","791924021"
"109","HircChunk","","uFileID","tid","791924021"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","265493503"
"109","HircChunk","","sourceID","tid","110570427"
"109","HircChunk","","uFileID","tid","110570427"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","265493503"
"109","HircChunk","","sourceID","tid","917369937"
"109","HircChunk","","uFileID","tid","917369937"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","265493503"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","166502767"
"109","HircChunk","","ulChildID","tid","310623641"
"109","HircChunk","","ulChildID","tid","599985710"
"109","HircChunk","","ulChildID","tid","777064904"
"109","HircChunk","","sourceID","tid","85455385"
"109","HircChunk","","uFileID","tid","85455385"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","408066689"
"109","HircChunk","","sourceID","tid","1050544152"
"109","HircChunk","","uFileID","tid","1050544152"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","408066689"
"109","HircChunk","","sourceID","tid","332168452"
"109","HircChunk","","uFileID","tid","332168452"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","408066689"
"109","HircChunk","","sourceID","tid","853338107"
"109","HircChunk","","uFileID","tid","853338107"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","408066689"
"109","HircChunk","","sourceID","tid","885837224"
"109","HircChunk","","uFileID","tid","885837224"
