"SourceID","UFileID","WEMFound","WEMFile","RelativePath","SizeBytes","StreamType","IsLanguageSpecific","HasSource","ExternallySupplied","ParentObject"
"1994541","1994541","True","1994541.wem","th4_000_common_vo\english(us)\1994541.wem","11063","1","","","","AkBankSourceData"
"2259156","2259156","True","2259156.wem","th4_000_common_vo\english(us)\2259156.wem","69591","1","","","","AkBankSourceData"
"2575341","2575341","True","2575341.wem","th4_000_common_vo\english(us)\2575341.wem","44809","1","","","","AkBankSourceData"
"3425580","3425580","True","3425580.wem","th4_000_common_vo\english(us)\3425580.wem","37246","2","","","","AkBankSourceData"
"4880661","4880661","True","4880661.wem","th4_000_common_vo\english(us)\4880661.wem","21878","1","","","","AkBankSourceData"
"6141113","6141113","True","6141113.wem","th4_000_common_vo\english(us)\6141113.wem","71985","1","","","","AkBankSourceData"
"6343934","6343934","True","6343934.wem","th4_000_common_vo\english(us)\6343934.wem","54356","1","","","","AkBankSourceData"
"6407439","6407439","True","6407439.wem","th4_000_common_vo\english(us)\6407439.wem","40517","1","","","","AkBankSourceData"
"7390073","7390073","True","7390073.wem","th4_000_common_vo\english(us)\7390073.wem","59265","1","","","","AkBankSourceData"
"8118526","8118526","True","8118526.wem","th4_000_common_vo\english(us)\8118526.wem","17626","1","","","","AkBankSourceData"
"9381084","9381084","True","9381084.wem","th4_000_common_vo\english(us)\9381084.wem","15903","1","","","","AkBankSourceData"
"11743198","11743198","True","11743198.wem","th4_000_common_vo\english(us)\11743198.wem","41060","1","","","","AkBankSourceData"
"11950871","11950871","True","11950871.wem","th4_000_common_vo\english(us)\11950871.wem","17089","1","","","","AkBankSourceData"
"14026281","14026281","True","14026281.wem","th4_000_common_vo\english(us)\14026281.wem","27864","1","","","","AkBankSourceData"
"14140737","14140737","True","14140737.wem","th4_000_common_vo\english(us)\14140737.wem","36048","1","","","","AkBankSourceData"
"14441920","14441920","True","14441920.wem","th4_000_common_vo\english(us)\14441920.wem","56158","1","","","","AkBankSourceData"
"15140111","15140111","True","15140111.wem","th4_000_common_vo\english(us)\15140111.wem","9769","1","","","","AkBankSourceData"
"15806715","15806715","True","15806715.wem","th4_000_common_vo\english(us)\15806715.wem","22583","1","","","","AkBankSourceData"
"16292482","16292482","True","16292482.wem","th4_000_common_vo\english(us)\16292482.wem","8094","1","","","","AkBankSourceData"
"16413068","16413068","True","16413068.wem","th4_000_common_vo\english(us)\16413068.wem","18558","1","","","","AkBankSourceData"
"16526771","16526771","True","16526771.wem","th4_000_common_vo\english(us)\16526771.wem","40766","1","","","","AkBankSourceData"
"18029859","18029859","True","18029859.wem","th4_000_common_vo\english(us)\18029859.wem","24536","1","","","","AkBankSourceData"
"18903818","18903818","True","18903818.wem","th4_000_common_vo\english(us)\18903818.wem","13349","1","","","","AkBankSourceData"
"20696694","20696694","True","20696694.wem","th4_000_common_vo\english(us)\20696694.wem","33677","2","","","","AkBankSourceData"
"21773969","21773969","True","21773969.wem","th4_000_common_vo\english(us)\21773969.wem","58053","1","","","","AkBankSourceData"
"21967293","21967293","True","21967293.wem","th4_000_common_vo\english(us)\21967293.wem","35040","1","","","","AkBankSourceData"
"23415599","23415599","True","23415599.wem","th4_000_common_vo\english(us)\23415599.wem","85661","1","","","","AkBankSourceData"
"23618156","23618156","True","23618156.wem","th4_000_common_vo\english(us)\23618156.wem","25225","1","","","","AkBankSourceData"
"24774449","24774449","True","24774449.wem","th4_000_common_vo\english(us)\24774449.wem","21237","1","","","","AkBankSourceData"
"25842541","25842541","True","25842541.wem","th4_000_common_vo\english(us)\25842541.wem","48596","1","","","","AkBankSourceData"
"25982441","25982441","True","25982441.wem","th4_000_common_vo\english(us)\25982441.wem","16033","1","","","","AkBankSourceData"
"27039803","27039803","True","27039803.wem","th4_000_common_vo\english(us)\27039803.wem","18321","1","","","","AkBankSourceData"
"27253652","27253652","True","27253652.wem","th4_000_common_vo\english(us)\27253652.wem","68611","1","","","","AkBankSourceData"
"27512562","27512562","True","27512562.wem","th4_000_common_vo\english(us)\27512562.wem","46911","1","","","","AkBankSourceData"
"27985417","27985417","True","27985417.wem","th4_000_common_vo\english(us)\27985417.wem","33967","1","","","","AkBankSourceData"
"28006126","28006126","True","28006126.wem","th4_000_common_vo\english(us)\28006126.wem","32419","1","","","","AkBankSourceData"
"28391928","28391928","True","28391928.wem","th4_000_common_vo\english(us)\28391928.wem","11081","1","","","","AkBankSourceData"
"28397653","1417353184","True","28397653.wem","th4_000_common_vo\english(us)\28397653.wem","2186","0","","","","AkBankSourceData"
"28899013","28899013","True","28899013.wem","th4_000_common_vo\english(us)\28899013.wem","19941","1","","","","AkBankSourceData"
"30052689","30052689","True","30052689.wem","th4_000_common_vo\english(us)\30052689.wem","18010","1","","","","AkBankSourceData"
"31296218","31296218","True","31296218.wem","th4_000_common_vo\english(us)\31296218.wem","21819","1","","","","AkBankSourceData"
"31508959","31508959","True","31508959.wem","th4_000_common_vo\english(us)\31508959.wem","57344","1","","","","AkBankSourceData"
"31944517","31944517","True","31944517.wem","th4_000_common_vo\english(us)\31944517.wem","12769","1","","","","AkBankSourceData"
"33235221","33235221","True","33235221.wem","th4_000_common_vo\english(us)\33235221.wem","65909","1","","","","AkBankSourceData"
"34453711","34453711","True","34453711.wem","th4_000_common_vo\english(us)\34453711.wem","18389","1","","","","AkBankSourceData"
"35991868","35991868","True","35991868.wem","th4_000_common_vo\english(us)\35991868.wem","19459","1","","","","AkBankSourceData"
"36771323","36771323","True","36771323.wem","th4_000_common_vo\english(us)\36771323.wem","32750","1","","","","AkBankSourceData"
"38372339","38372339","True","38372339.wem","th4_000_common_vo\english(us)\38372339.wem","24345","2","","","","AkBankSourceData"
"38505124","38505124","True","38505124.wem","th4_000_common_vo\english(us)\38505124.wem","45172","1","","","","AkBankSourceData"
"38727352","38727352","True","38727352.wem","th4_000_common_vo\english(us)\38727352.wem","10590","1","","","","AkBankSourceData"
"38896854","38896854","True","38896854.wem","th4_000_common_vo\english(us)\38896854.wem","37698","1","","","","AkBankSourceData"
"39862244","39862244","True","39862244.wem","th4_000_common_vo\english(us)\39862244.wem","52367","1","","","","AkBankSourceData"
"41098152","41098152","True","41098152.wem","th4_000_common_vo\english(us)\41098152.wem","59642","1","","","","AkBankSourceData"
"42374114","42374114","True","42374114.wem","th4_000_common_vo\english(us)\42374114.wem","15728","1","","","","AkBankSourceData"
"43709616","43709616","True","43709616.wem","th4_000_common_vo\english(us)\43709616.wem","18456","1","","","","AkBankSourceData"
"45145384","45145384","True","45145384.wem","th4_000_common_vo\english(us)\45145384.wem","12606","1","","","","AkBankSourceData"
"45850526","45850526","True","45850526.wem","th4_000_common_vo\english(us)\45850526.wem","21884","1","","","","AkBankSourceData"
"46657280","46657280","True","46657280.wem","th4_000_common_vo\english(us)\46657280.wem","14799","1","","","","AkBankSourceData"
"46999090","46999090","True","46999090.wem","th4_000_common_vo\english(us)\46999090.wem","60590","1","","","","AkBankSourceData"
"48753438","48753438","True","48753438.wem","th4_000_common_vo\english(us)\48753438.wem","15567","1","","","","AkBankSourceData"
"49679125","49679125","True","49679125.wem","th4_000_common_vo\english(us)\49679125.wem","44532","1","","","","AkBankSourceData"
"50572807","50572807","True","50572807.wem","th4_000_common_vo\english(us)\50572807.wem","45318","1","","","","AkBankSourceData"
"51534216","51534216","True","51534216.wem","th4_000_common_vo\english(us)\51534216.wem","20687","1","","","","AkBankSourceData"
"54151231","54151231","True","54151231.wem","th4_000_common_vo\english(us)\54151231.wem","36008","1","","","","AkBankSourceData"
"54204748","54204748","True","54204748.wem","th4_000_common_vo\english(us)\54204748.wem","35753","1","","","","AkBankSourceData"
"55510424","55510424","True","55510424.wem","th4_000_common_vo\english(us)\55510424.wem","10681","1","","","","AkBankSourceData"
"56223722","56223722","True","56223722.wem","th4_000_common_vo\english(us)\56223722.wem","53490","1","","","","AkBankSourceData"
"56270695","56270695","True","56270695.wem","th4_000_common_vo\english(us)\56270695.wem","16275","1","","","","AkBankSourceData"
"61738747","61738747","True","61738747.wem","th4_000_common_vo\english(us)\61738747.wem","14306","1","","","","AkBankSourceData"
"62506718","62506718","True","62506718.wem","th4_000_common_vo\english(us)\62506718.wem","23397","1","","","","AkBankSourceData"
"63485174","63485174","True","63485174.wem","th4_000_common_vo\english(us)\63485174.wem","9881","1","","","","AkBankSourceData"
"65544374","65544374","True","65544374.wem","th4_000_common_vo\english(us)\65544374.wem","15962","1","","","","AkBankSourceData"
"65816721","65816721","True","65816721.wem","th4_000_common_vo\english(us)\65816721.wem","38922","1","","","","AkBankSourceData"
"67801274","67801274","True","67801274.wem","th4_000_common_vo\english(us)\67801274.wem","90480","1","","","","AkBankSourceData"
"67891682","67891682","True","67891682.wem","th4_000_common_vo\english(us)\67891682.wem","20566","1","","","","AkBankSourceData"
"68392483","68392483","True","68392483.wem","th4_000_common_vo\english(us)\68392483.wem","62349","1","","","","AkBankSourceData"
"70106595","70106595","True","70106595.wem","th4_000_common_vo\english(us)\70106595.wem","45998","1","","","","AkBankSourceData"
"70532753","70532753","True","70532753.wem","th4_000_common_vo\english(us)\70532753.wem","15201","1","","","","AkBankSourceData"
"72599138","72599138","True","72599138.wem","th4_000_common_vo\english(us)\72599138.wem","25550","1","","","","AkBankSourceData"
"72740112","72740112","True","72740112.wem","th4_000_common_vo\english(us)\72740112.wem","8539","1","","","","AkBankSourceData"
"75298720","75298720","True","75298720.wem","th4_000_common_vo\english(us)\75298720.wem","17840","1","","","","AkBankSourceData"
"75859786","75859786","True","75859786.wem","th4_000_common_vo\english(us)\75859786.wem","19373","1","","","","AkBankSourceData"
"79594765","79594765","True","79594765.wem","th4_000_common_vo\english(us)\79594765.wem","78802","1","","","","AkBankSourceData"
"80944288","80944288","True","80944288.wem","th4_000_common_vo\english(us)\80944288.wem","25665","1","","","","AkBankSourceData"
"82613959","82613959","True","82613959.wem","th4_000_common_vo\english(us)\82613959.wem","15925","1","","","","AkBankSourceData"
"83349338","83349338","True","83349338.wem","th4_000_common_vo\english(us)\83349338.wem","42189","1","","","","AkBankSourceData"
"85455385","85455385","True","85455385.wem","th4_000_common_vo\english(us)\85455385.wem","53967","1","","","","AkBankSourceData"
"85694433","85694433","True","85694433.wem","th4_000_common_vo\english(us)\85694433.wem","6960","1","","","","AkBankSourceData"
"86008251","86008251","True","86008251.wem","th4_000_common_vo\english(us)\86008251.wem","43551","1","","","","AkBankSourceData"
"86065016","86065016","True","86065016.wem","th4_000_common_vo\english(us)\86065016.wem","15082","1","","","","AkBankSourceData"
"86148928","86148928","True","86148928.wem","th4_000_common_vo\english(us)\86148928.wem","9947","1","","","","AkBankSourceData"
"86754495","86754495","True","86754495.wem","th4_000_common_vo\english(us)\86754495.wem","47966","1","","","","AkBankSourceData"
"87544570","87544570","True","87544570.wem","th4_000_common_vo\english(us)\87544570.wem","89135","1","","","","AkBankSourceData"
"87634762","87634762","True","87634762.wem","th4_000_common_vo\english(us)\87634762.wem","15183","1","","","","AkBankSourceData"
"89315413","89315413","True","89315413.wem","th4_000_common_vo\english(us)\89315413.wem","19973","1","","","","AkBankSourceData"
"89428262","89428262","True","89428262.wem","th4_000_common_vo\english(us)\89428262.wem","13593","1","","","","AkBankSourceData"
"90880483","90880483","True","90880483.wem","th4_000_common_vo\english(us)\90880483.wem","16448","1","","","","AkBankSourceData"
"92198627","92198627","True","92198627.wem","th4_000_common_vo\english(us)\92198627.wem","50014","1","","","","AkBankSourceData"
"92791440","92791440","True","92791440.wem","th4_000_common_vo\english(us)\92791440.wem","11883","1","","","","AkBankSourceData"
"93325588","93325588","True","93325588.wem","th4_000_common_vo\english(us)\93325588.wem","30018","1","","","","AkBankSourceData"
"98552437","98552437","True","98552437.wem","th4_000_common_vo\english(us)\98552437.wem","38952","1","","","","AkBankSourceData"
"99395565","99395565","True","99395565.wem","th4_000_common_vo\english(us)\99395565.wem","67394","2","","","","AkBankSourceData"
"102436360","102436360","True","102436360.wem","th4_000_common_vo\english(us)\102436360.wem","35732","1","","","","AkBankSourceData"
"103162336","103162336","True","103162336.wem","th4_000_common_vo\english(us)\103162336.wem","44944","1","","","","AkBankSourceData"
"104766979","104766979","True","104766979.wem","th4_000_common_vo\english(us)\104766979.wem","27187","1","","","","AkBankSourceData"
"105106109","105106109","True","105106109.wem","th4_000_common_vo\english(us)\105106109.wem","13089","2","","","","AkBankSourceData"
"105622278","105622278","True","105622278.wem","th4_000_common_vo\english(us)\105622278.wem","22462","1","","","","AkBankSourceData"
"106607126","106607126","True","106607126.wem","th4_000_common_vo\english(us)\106607126.wem","85924","1","","","","AkBankSourceData"
"107137317","107137317","True","107137317.wem","th4_000_common_vo\english(us)\107137317.wem","46383","1","","","","AkBankSourceData"
"107594310","107594310","True","107594310.wem","th4_000_common_vo\english(us)\107594310.wem","36497","1","","","","AkBankSourceData"
"110570427","110570427","True","110570427.wem","th4_000_common_vo\english(us)\110570427.wem","32535","1","","","","AkBankSourceData"
"110723765","110723765","True","110723765.wem","th4_000_common_vo\english(us)\110723765.wem","59291","2","","","","AkBankSourceData"
"111168223","111168223","True","111168223.wem","th4_000_common_vo\english(us)\111168223.wem","7795","1","","","","AkBankSourceData"
"111213177","111213177","True","111213177.wem","th4_000_common_vo\english(us)\111213177.wem","35067","1","","","","AkBankSourceData"
"111938917","111938917","True","111938917.wem","th4_000_common_vo\english(us)\111938917.wem","108615","1","","","","AkBankSourceData"
"115875410","115875410","True","115875410.wem","th4_000_common_vo\english(us)\115875410.wem","24391","2","","","","AkBankSourceData"
"116629131","116629131","True","116629131.wem","th4_000_common_vo\english(us)\116629131.wem","41957","1","","","","AkBankSourceData"
