"SoundID","SourceID","UFileID","StreamType","WEM"
"723520379","1011213518","1011213518","1","1011213518.wem"
"759177831","884549210","884549210","1","884549210.wem"
"166502767","572354245","572354245","1","572354245.wem"
"310623641","791924021","791924021","1","791924021.wem"
"599985710","110570427","110570427","1","110570427.wem"
"777064904","917369937","917369937","1","917369937.wem"
"35823951","85455385","85455385","1","85455385.wem"
"48322268","1050544152","1050544152","1","1050544152.wem"
"431125421","332168452","332168452","1","332168452.wem"
"526438744","853338107","853338107","1","853338107.wem"
"745767781","885837224","885837224","1","885837224.wem"
"2039034","219721614","219721614","1","219721614.wem"
"7886798","367584962","367584962","1","367584962.wem"
"101784772","65816721","65816721","1","65816721.wem"
"157758026","581175625","581175625","1","581175625.wem"
"194343234","296028953","296028953","1","296028953.wem"
"259208342","111938917","111938917","1","111938917.wem"
"290330782","278962303","278962303","1","278962303.wem"
"335574237","359395123","359395123","1","359395123.wem"
"398328077","258432156","258432156","1","258432156.wem"
"448285965","507868355","507868355","1","507868355.wem"
"469538621","187877902","187877902","1","187877902.wem"
"486790754","631551399","631551399","1","631551399.wem"
"607180145","452907922","452907922","1","452907922.wem"
"747922111","622869614","622869614","1","622869614.wem"
"964549398","941504960","941504960","1","941504960.wem"
"1039244062","396856693","396856693","1","396856693.wem"
"944743452","291892974","291892974","1","291892974.wem"
"356083530","170699724","170699724","1","170699724.wem"
"580027746","644391300","644391300","1","644391300.wem"
"991633241","227830401","227830401","1","227830401.wem"
"120945987","28397653","1417353184","0","28397653.wem"
"151279467","831866575","831866575","2","831866575.wem"
"321425575","305371706","305371706","2","305371706.wem"
"482154530","802166597","802166597","2","802166597.wem"
"608177259","704692640","704692640","2","704692640.wem"
"612492065","822386335","822386335","2","822386335.wem"
"665836850","324025043","324025043","2","324025043.wem"
"726780359","508384238","508384238","2","508384238.wem"
"765137024","1004298845","1004298845","2","1004298845.wem"
"924258737","434389044","434389044","2","434389044.wem"
"103998348","697193758","697193758","2","697193758.wem"
"162154101","237528681","237528681","2","237528681.wem"
