============================================================
 THIEF 2014 - HIRC OBJECT GRAPH REPORT
============================================================

XML: B:\DublagemThief2014\Analysis\BNK\th4_000_common_vo.bnk.xml
Objetos HIRC: 3485
Eventos: 1149
Actions: 1149
Sounds: 1152
Caminhos completos: 1149
Eventos sem Action: 0
Actions sem Sound: 0
Sounds sem SourceID: 0
WEM unicos referenciados: 1149

============================================================
PRIMEIROS CAMINHOS COMPLETOS
============================================================
EventID=6101757 | ActionID=644467920 | SoundID=267473630 | SourceID=194110632 | WEM=194110632.wem
EventID=13142580 | ActionID=51523396 | SoundID=608042004 | SourceID=418024896 | WEM=418024896.wem
EventID=14107373 | ActionID=162280588 | SoundID=877794139 | SourceID=145630016 | WEM=145630016.wem
EventID=15524057 | ActionID=22341881 | SoundID=820328157 | SourceID=883334655 | WEM=883334655.wem
EventID=21816622 | ActionID=32460704 | SoundID=780178376 | SourceID=610558789 | WEM=610558789.wem
EventID=25410473 | ActionID=403124118 | SoundID=774990946 | SourceID=888850491 | WEM=888850491.wem
EventID=26469050 | ActionID=401939776 | SoundID=771562498 | SourceID=1035824601 | WEM=1035824601.wem
EventID=29382661 | ActionID=218392660 | SoundID=816859556 | SourceID=868639152 | WEM=868639152.wem
EventID=30263741 | ActionID=723617978 | SoundID=859770189 | SourceID=687952756 | WEM=687952756.wem
EventID=30829860 | ActionID=1038272151 | SoundID=1070363325 | SourceID=1042630073 | WEM=1042630073.wem
EventID=32367478 | ActionID=425774298 | SoundID=403895934 | SourceID=672084372 | WEM=672084372.wem
EventID=32947030 | ActionID=123702919 | SoundID=535357353 | SourceID=471584944 | WEM=471584944.wem
EventID=34241672 | ActionID=227812407 | SoundID=375562660 | SourceID=718012839 | WEM=718012839.wem
EventID=37023884 | ActionID=1003340774 | SoundID=56078658 | SourceID=726089987 | WEM=726089987.wem
EventID=38922982 | ActionID=120298763 | SoundID=755606733 | SourceID=159921588 | WEM=159921588.wem
EventID=41015416 | ActionID=655422662 | SoundID=265622055 | SourceID=927057568 | WEM=927057568.wem
EventID=41160056 | ActionID=271803665 | SoundID=291864555 | SourceID=272200703 | WEM=272200703.wem
EventID=51427270 | ActionID=134248600 | SoundID=780746062 | SourceID=393759497 | WEM=393759497.wem
EventID=56395845 | ActionID=438149503 | SoundID=406602012 | SourceID=139313318 | WEM=139313318.wem
EventID=64470697 | ActionID=594959497 | SoundID=402319831 | SourceID=174011257 | WEM=174011257.wem
EventID=67663027 | ActionID=808018788 | SoundID=218754862 | SourceID=984367350 | WEM=984367350.wem
