"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status","WhisperModel","WhisperLanguage","WhisperProbability","TranscriptionTimeSec"
"1","Batch_001","731766908.wem","Batch_001/0001_731766908.wav","3478230970","636402901","116588105","731766908","0,508","FALA","","Got it.","","","TRANSCRIBED","small.en","en","1.0000","1.51"
"2","Batch_001","1059620240.wem","Batch_001/0002_1059620240.wav","1392525625","178367285","1020402028","1059620240","0,576","FALA","","Not bad.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"3","Batch_001","400720740.wem","Batch_001/0003_400720740.wav","3495008557","843074105","433476590","400720740","0,579","FALA","","That'll work.","","","TRANSCRIBED","small.en","en","1.0000","1.39"
"4","Batch_001","818539637.wem","Batch_001/0004_818539637.wav","3858585323","427967198","378904448","818539637","0,592","FALA","","Perfect.","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"5","Batch_001","385288379.wem","Batch_001/0005_385288379.wav","2667738906","654231053","470353110","385288379","0,601","FALA","","Why me?","","","TRANSCRIBED","small.en","en","1.0000","1.30"
"6","Batch_001","892968061.wem","Batch_001/0006_892968061.wav","3024387871","7289928","850004010","892968061","0,612","FALA","","Why not?","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"7","Batch_001","439812956.wem","Batch_001/0007_439812956.wav","1930465213","329074691","905264037","439812956","0,614","FALA","","Time to leave.","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"8","Batch_001","873145965.wem","Batch_001/0008_873145965.wav","3344009922","280982821","12453192","873145965","0,629","FALA","","That should help.","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"10","Batch_001","809326529.wem","Batch_001/0010_809326529.wav","1342192736","253431697","532225781","809326529","0,675","FALA","","Here we go.","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"11","Batch_001","273544445.wem","Batch_001/0011_273544445.wav","1493191243","164036162","1032978047","273544445","0,675","FALA","","Good find.","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"12","Batch_001","715263746.wem","Batch_001/0012_715263746.wav","4197952617","209223848","312791072","715263746","0,702","FALA","","The noose.","","","TRANSCRIBED","small.en","en","1.0000","1.51"
"13","Batch_001","608686206.wem","Batch_001/0013_608686206.wav","2941141265","35149190","585458173","608686206","0,706","FALA","","Kill her.","","","TRANSCRIBED","small.en","en","1.0000","1.60"
"14","Batch_001","1054119434.wem","Batch_001/0014_1054119434.wav","3377565224","839545645","971357107","1054119434","0,714","FALA","","That's it.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"15","Batch_001","344423814.wem","Batch_001/0015_344423814.wav","322299620","402368636","977355748","344423814","0,714","FALA","","Two down.","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"16","Batch_001","429713486.wem","Batch_001/0016_429713486.wav","145728859","636413734","976653760","429713486","0,718","FALA","","C'est la vous.","","","TRANSCRIBED","small.en","en","1.0000","1.82"
"17","Batch_001","995532982.wem","Batch_001/0017_995532982.wav","3444675668","697060392","762419982","995532982","0,734","FALA","","That was easy.","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"18","Batch_001","885929473.wem","Batch_001/0018_885929473.wav","3158277099","987672707","687869472","885929473","0,734","FALA","","Agony","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"19","Batch_001","439964722.wem","Batch_001/0019_439964722.wav","1743323282","966995386","986718980","439964722","0,753","FALA","","That's all of them.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"20","Batch_001","441093314.wem","Batch_001/0020_441093314.wav","3394342811","662060","1048289151","441093314","0,755","FALA","","That'll do it.","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"21","Batch_001","270299190.wem","Batch_001/0021_270299190.wav","2839621892","831971855","228178172","270299190","0,765","FALA","","The knife.","","","TRANSCRIBED","small.en","en","1.0000","1.68"
"22","Batch_001","314504782.wem","Batch_001/0022_314504782.wav","2991160767","179125938","4765697","314504782","0,766","FALA","","What did he say?","","","TRANSCRIBED","small.en","en","1.0000","1.51"
"23","Batch_001","85694433.wem","Batch_001/0023_85694433.wav","3078223667","893787449","960300668","85694433","0,776","FALA","","Thank you!","","","TRANSCRIBED","small.en","en","1.0000","1.30"
"24","Batch_001","195325266.wem","Batch_001/0024_195325266.wav","1682644071","581081123","630516632","195325266","0,784","FALA","","How was it?","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"26","Batch_001","150380784.wem","Batch_001/0026_150380784.wav","2777911739","1050996736","55960903","150380784","0,794","FALA","","At last...","","","MANUAL_TRANSCRIBED","MANUAL","en","",""
"27","Batch_001","273701221.wem","Batch_001/0027_273701221.wav","590353631","971135927","890447449","273701221","0,806","FALA","","Sorrow.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
