"Index","Batch","WEM","SourcePath","WAV","EventID","ActionID","SoundID","SourceID","StreamType","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket","Status"
"1","Batch_001","731766908.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\731766908.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0001_731766908.wav","3478230970","636402901","116588105","731766908","1","0,508","95","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"2","Batch_001","1059620240.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1059620240.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0002_1059620240.wav","1392525625","178367285","1020402028","1059620240","1","0,576","98","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"3","Batch_001","400720740.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\400720740.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0003_400720740.wav","3495008557","843074105","433476590","400720740","1","0,579","94","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"4","Batch_001","818539637.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\818539637.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0004_818539637.wav","3858585323","427967198","378904448","818539637","1","0,592","87","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"5","Batch_001","385288379.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\385288379.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0005_385288379.wav","2667738906","654231053","470353110","385288379","2","0,601","78","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"6","Batch_001","892968061.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\892968061.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0006_892968061.wav","3024387871","7289928","850004010","892968061","1","0,612","66","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"7","Batch_001","439812956.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\439812956.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0007_439812956.wav","1930465213","329074691","905264037","439812956","1","0,614","90","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"8","Batch_001","873145965.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\873145965.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0008_873145965.wav","3344009922","280982821","12453192","873145965","1","0,629","87","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"9","Batch_001","585322642.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\585322642.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0009_585322642.wav","3805600254","608147778","380563849","585322642","2","0,667","66","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"10","Batch_001","809326529.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\809326529.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0010_809326529.wav","1342192736","253431697","532225781","809326529","1","0,675","89","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"11","Batch_001","273544445.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\273544445.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0011_273544445.wav","1493191243","164036162","1032978047","273544445","1","0,675","82","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"12","Batch_001","715263746.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\715263746.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0012_715263746.wav","4197952617","209223848","312791072","715263746","1","0,702","72","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"13","Batch_001","608686206.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\608686206.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0013_608686206.wav","2941141265","35149190","585458173","608686206","1","0,706","66","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"14","Batch_001","1054119434.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1054119434.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0014_1054119434.wav","3377565224","839545645","971357107","1054119434","1","0,714","81","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"15","Batch_001","344423814.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\344423814.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0015_344423814.wav","322299620","402368636","977355748","344423814","1","0,714","98","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"16","Batch_001","429713486.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\429713486.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0016_429713486.wav","145728859","636413734","976653760","429713486","2","0,718","68","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
"17","Batch_001","995532982.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\995532982.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_001\0017_995532982.wav","3444675668","697060392","762419982","995532982","1","0,734","85","Custom Vorbis","32000 Hz","1","00-01s","CONVERTED"
