"Index","WEM","Type","Character","Context","Status","OriginalText","PTBRText","Notes"
"1","731766908.wem","VOICE","","","PENDING","","",""
"2","1059620240.wem","VOICE","","","PENDING","","",""
"3","400720740.wem","VOICE","","","PENDING","","",""
"4","818539637.wem","VOICE","","","PENDING","","",""
"5","385288379.wem","VOICE","","","PENDING","","",""
"6","892968061.wem","VOICE","","","PENDING","","",""
"7","439812956.wem","VOICE","","","PENDING","","",""
"8","873145965.wem","VOICE","","","PENDING","","",""
"9","585322642.wem","VOICE","","","PENDING","","",""
"10","809326529.wem","VOICE","","","PENDING","","",""
"11","273544445.wem","VOICE","","","PENDING","","",""
"12","715263746.wem","VOICE","","","PENDING","","",""
"13","608686206.wem","VOICE","","","PENDING","","",""
"14","1054119434.wem","VOICE","","","PENDING","","",""
"15","344423814.wem","VOICE","","","PENDING","","",""
"16","429713486.wem","VOICE","","","PENDING","","",""
"17","995532982.wem","VOICE","","","PENDING","","",""
"18","885929473.wem","VOICE","","","PENDING","","",""
"19","439964722.wem","VOICE","","","PENDING","","",""
"20","441093314.wem","VOICE","","","PENDING","","",""
"21","270299190.wem","VOICE","","","PENDING","","",""
"22","314504782.wem","VOICE","","","PENDING","","",""
"23","85694433.wem","VOICE","","","PENDING","","",""
"24","195325266.wem","VOICE","","","PENDING","","",""
"25","400137489.wem","VOICE","","","PENDING","","",""
"26","150380784.wem","VOICE","","","PENDING","","",""
"27","273701221.wem","VOICE","","","PENDING","","",""
"28","72740112.wem","VOICE","","","PENDING","","",""
"29","130214626.wem","VOICE","","","PENDING","","",""
"30","694355849.wem","VOICE","","","PENDING","","",""
"31","755475297.wem","VOICE","","","PENDING","","",""
"32","564551233.wem","VOICE","","","PENDING","","",""
"33","348578007.wem","VOICE","","","PENDING","","",""
"34","597854950.wem","VOICE","","","PENDING","","",""
"35","111168223.wem","VOICE","","","PENDING","","",""
"36","900193839.wem","VOICE","","","PENDING","","",""
"37","140429898.wem","VOICE","","","PENDING","","",""
"38","833742253.wem","VOICE","","","PENDING","","",""
"39","334746582.wem","VOICE","","","PENDING","","",""
"40","291902255.wem","VOICE","","","PENDING","","",""
"41","824470248.wem","VOICE","","","PENDING","","",""
"42","367107921.wem","VOICE","","","PENDING","","",""
"43","434389044.wem","VOICE","","","PENDING","","",""
"44","38727352.wem","VOICE","","","PENDING","","",""
"45","541461070.wem","VOICE","","","PENDING","","",""
"46","596333364.wem","VOICE","","","PENDING","","",""
"47","560912128.wem","VOICE","","","PENDING","","",""
"48","731848657.wem","VOICE","","","PENDING","","",""
"49","897844617.wem","VOICE","","","PENDING","","",""
"50","1004298845.wem","VOICE","","","PENDING","","",""
"51","639975831.wem","VOICE","","","PENDING","","",""
"52","627935293.wem","VOICE","","","PENDING","","",""
"53","471866784.wem","VOICE","","","PENDING","","",""
"54","55510424.wem","VOICE","","","PENDING","","",""
"55","919374362.wem","VOICE","","","PENDING","","",""
"56","28391928.wem","VOICE","","","PENDING","","",""
"57","938191861.wem","VOICE","","","PENDING","","",""
"58","804342991.wem","VOICE","","","PENDING","","",""
"59","1017305820.wem","VOICE","","","PENDING","","",""
"60","927048682.wem","VOICE","","","PENDING","","",""
"61","503584387.wem","VOICE","","","PENDING","","",""
"62","829903043.wem","VOICE","","","PENDING","","",""
"63","921173421.wem","VOICE","","","PENDING","","",""
"64","823705667.wem","VOICE","","","PENDING","","",""
"65","959203466.wem","VOICE","","","PENDING","","",""
"66","360887369.wem","VOICE","","","PENDING","","",""
"67","778813174.wem","VOICE","","","PENDING","","",""
"68","1063061087.wem","VOICE","","","PENDING","","",""
"69","1006709767.wem","VOICE","","","PENDING","","",""
"70","16292482.wem","VOICE","","","PENDING","","",""
"71","1046566922.wem","VOICE","","","PENDING","","",""
"72","315933206.wem","VOICE","","","PENDING","","",""
"73","145630016.wem","VOICE","","","PENDING","","",""
"74","159921588.wem","VOICE","","","PENDING","","",""
"75","374410794.wem","VOICE","","","PENDING","","",""
"76","831440145.wem","VOICE","","","PENDING","","",""
"77","1018531196.wem","VOICE","","","PENDING","","",""
"78","530969235.wem","VOICE","","","PENDING","","",""
"79","627610828.wem","VOICE","","","PENDING","","",""
"80","432000320.wem","VOICE","","","PENDING","","",""
"81","861286715.wem","VOICE","","","PENDING","","",""
"82","816378630.wem","VOICE","","","PENDING","","",""
"83","903710341.wem","VOICE","","","PENDING","","",""
"84","298554319.wem","VOICE","","","PENDING","","",""
"85","854499199.wem","VOICE","","","PENDING","","",""
"86","916026085.wem","VOICE","","","PENDING","","",""
"87","442044236.wem","VOICE","","","PENDING","","",""
"88","697282788.wem","VOICE","","","PENDING","","",""
"89","616565789.wem","VOICE","","","PENDING","","",""
"90","1037817702.wem","VOICE","","","PENDING","","",""
"91","431430945.wem","VOICE","","","PENDING","","",""
"92","409047569.wem","VOICE","","","PENDING","","",""
"93","920301962.wem","VOICE","","","PENDING","","",""
"94","504253636.wem","VOICE","","","PENDING","","",""
"95","165923554.wem","VOICE","","","PENDING","","",""
"96","292303274.wem","VOICE","","","PENDING","","",""
"97","929989629.wem","VOICE","","","PENDING","","",""
"98","272200703.wem","VOICE","","","PENDING","","",""
"99","415978962.wem","VOICE","","","PENDING","","",""
"100","718012839.wem","VOICE","","","PENDING","","",""
"101","988715288.wem","VOICE","","","PENDING","","",""
"102","770080605.wem","VOICE","","","PENDING","","",""
"103","672970291.wem","VOICE","","","PENDING","","",""
"104","757292548.wem","VOICE","","","PENDING","","",""
"105","972858731.wem","VOICE","","","PENDING","","",""
"106","781584840.wem","VOICE","","","PENDING","","",""
"107","253212335.wem","VOICE","","","PENDING","","",""
"108","979556710.wem","VOICE","","","PENDING","","",""
"109","192487085.wem","VOICE","","","PENDING","","",""
"110","1048949208.wem","VOICE","","","PENDING","","",""
"111","402148274.wem","VOICE","","","PENDING","","",""
"112","272603742.wem","VOICE","","","PENDING","","",""
"113","704692640.wem","VOICE","","","PENDING","","",""
"114","528151165.wem","VOICE","","","PENDING","","",""
"115","518039797.wem","VOICE","","","PENDING","","",""
"116","143438724.wem","VOICE","","","PENDING","","",""
"117","174011257.wem","VOICE","","","PENDING","","",""
"118","974657530.wem","VOICE","","","PENDING","","",""
"119","757582667.wem","VOICE","","","PENDING","","",""
"120","610558789.wem","VOICE","","","PENDING","","",""
"121","15140111.wem","VOICE","","","PENDING","","",""
"122","63485174.wem","VOICE","","","PENDING","","",""
"123","801833393.wem","VOICE","","","PENDING","","",""
"124","581710097.wem","VOICE","","","PENDING","","",""
"125","270191836.wem","VOICE","","","PENDING","","",""
"126","752327521.wem","VOICE","","","PENDING","","",""
"127","89428262.wem","VOICE","","","PENDING","","",""
"128","412020070.wem","VOICE","","","PENDING","","",""
"129","250104555.wem","VOICE","","","PENDING","","",""
"130","1001406991.wem","VOICE","","","PENDING","","",""
"131","323532677.wem","VOICE","","","PENDING","","",""
"132","237528681.wem","VOICE","","","PENDING","","",""
"133","820757872.wem","VOICE","","","PENDING","","",""
"134","526885551.wem","VOICE","","","PENDING","","",""
"135","248157971.wem","VOICE","","","PENDING","","",""
"136","834123639.wem","VOICE","","","PENDING","","",""
"137","938294348.wem","VOICE","","","PENDING","","",""
"138","1011669071.wem","VOICE","","","PENDING","","",""
"139","948839576.wem","VOICE","","","PENDING","","",""
"140","886897021.wem","VOICE","","","PENDING","","",""
"141","596342624.wem","VOICE","","","PENDING","","",""
"142","723844794.wem","VOICE","","","PENDING","","",""
"143","286756205.wem","VOICE","","","PENDING","","",""
"144","848134069.wem","VOICE","","","PENDING","","",""
"145","917921297.wem","VOICE","","","PENDING","","",""
"146","239395106.wem","VOICE","","","PENDING","","",""
"147","911282662.wem","VOICE","","","PENDING","","",""
"148","149815371.wem","VOICE","","","PENDING","","",""
"149","184517543.wem","VOICE","","","PENDING","","",""
"150","419074368.wem","VOICE","","","PENDING","","",""
