"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeKB","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket"
"6101757","644467920","267473630","194110632","194110632.wem","1","16,52","1,761","76","Custom Vorbis","32000 Hz","1","01-02s"
"13142580","51523396","608042004","418024896","418024896.wem","1","48,88","5,887","67","Custom Vorbis","32000 Hz","1","05-10s"
"14107373","162280588","877794139","145630016","145630016.wem","1","8,2","0,967","68","Custom Vorbis","32000 Hz","1","00-01s"
"15524057","22341881","820328157","883334655","883334655.wem","1","41,61","4,609","73","Custom Vorbis","32000 Hz","1","03-05s"
"21816622","32460704","780178376","610558789","610558789.wem","1","10,49","1,152","73","Custom Vorbis","32000 Hz","1","01-02s"
"25410473","403124118","774990946","888850491","888850491.wem","1","65,52","8,236","65","Custom Vorbis","32000 Hz","1","05-10s"
"26469050","401939776","771562498","1035824601","1035824601.wem","1","36,53","4,428","67","Custom Vorbis","32000 Hz","1","03-05s"
"29382661","218392660","816859556","868639152","868639152.wem","1","52,75","6,384","67","Custom Vorbis","32000 Hz","1","05-10s"
"30263741","723617978","859770189","687952756","687952756.wem","1","46,38","4,512","84","Custom Vorbis","32000 Hz","1","03-05s"
"30829860","1038272151","1070363325","1042630073","1042630073.wem","1","11,63","1,439","65","Custom Vorbis","32000 Hz","1","01-02s"
"32367478","425774298","403895934","672084372","672084372.wem","1","60,07","7,279","67","Custom Vorbis","32000 Hz","1","05-10s"
"32947030","123702919","535357353","471584944","471584944.wem","1","54,26","6,477","68","Custom Vorbis","32000 Hz","1","05-10s"
"34241672","227812407","375562660","718012839","718012839.wem","2","9,17","1,075","69","Custom Vorbis","32000 Hz","1","01-02s"
"37023884","1003340774","56078658","726089987","726089987.wem","1","51","5,025","83","Custom Vorbis","32000 Hz","1","05-10s"
"38922982","120298763","755606733","159921588","159921588.wem","2","11,34","0,968","95","Custom Vorbis","32000 Hz","1","00-01s"
"41015416","655422662","265622055","927057568","927057568.wem","1","78,59","9,769","65","Custom Vorbis","32000 Hz","1","05-10s"
"41160056","271803665","291864555","272200703","272200703.wem","2","9,19","1,068","69","Custom Vorbis","32000 Hz","1","01-02s"
"51427270","134248600","780746062","393759497","393759497.wem","1","45,23","4,077","90","Custom Vorbis","32000 Hz","1","03-05s"
"56395845","438149503","406602012","139313318","139313318.wem","1","12,29","1,403","71","Custom Vorbis","32000 Hz","1","01-02s"
"64470697","594959497","402319831","174011257","174011257.wem","1","10,33","1,149","73","Custom Vorbis","32000 Hz","1","01-02s"
"67663027","808018788","218754862","984367350","984367350.wem","1","39,55","4,533","71","Custom Vorbis","32000 Hz","1","03-05s"
"82386634","277069325","594313523","162031974","162031974.wem","1","28,72","3,434","68","Custom Vorbis","32000 Hz","1","03-05s"
"87081233","874179820","427451876","79594765","79594765.wem","1","76,96","9,492","66","Custom Vorbis","32000 Hz","1","05-10s"
"95586499","169232804","506509550","876947983","876947983.wem","1","27,46","3,026","74","Custom Vorbis","32000 Hz","1","03-05s"
"96887312","728346743","709903674","980652201","980652201.wem","1","24,59","3,023","66","Custom Vorbis","32000 Hz","1","03-05s"
"98289929","974433607","360567073","61738747","61738747.wem","1","13,97","1,632","69","Custom Vorbis","32000 Hz","1","01-02s"
