"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeBytes","SizeKB","Codec","SampleRate","Channels","Streams","DurationSec","Looping","VgmstreamExit"
"1939217055","483822953","123592416","1994541","1994541.wem","1","11063","10,8","","","","","43603","","0"
"3813146506","505124384","1031940873","2259156","2259156.wem","1","69591","67,96","","","","","256962","","0"
"1449448340","263856076","1036449577","2575341","2575341.wem","1","44809","43,76","","","","","171178","","0"
"3098908705","133087753","56891956","3425580","3425580.wem","2","37246","36,37","","","","","144625","","0"
"3427046794","530989381","323299304","4880661","4880661.wem","1","21878","21,37","","","","","71171","","0"
"747866375","994430967","74671635","6141113","6141113.wem","1","71985","70,3","","","","","260014","","0"
"2358215687","800907594","691391696","6343934","6343934.wem","1","54356","53,08","","","","","205482","","0"
"2519060418","910703238","876698212","6407439","6407439.wem","1","40517","39,57","","","","","152753","","0"
"3002424588","125837682","328793783","7390073","7390073.wem","1","59265","57,88","","","","","221946","","0"
"664984808","933768584","743518314","8118526","8118526.wem","1","17626","17,21","","","","","52365","","0"
"3841807736","37837930","381803477","9381084","9381084.wem","1","15903","15,53","","","","","48814","","0"
"2385992378","180095592","839344046","11743198","11743198.wem","1","41060","40,1","","","","","125974","","0"
"642354608","815749185","500485454","11950871","11950871.wem","1","17089","16,69","","","","","58899","","0"
"3125062282","328893647","376404055","14026281","14026281.wem","1","27864","27,21","","","","","96331","","0"
"2141487084","241039959","709171732","14140737","14140737.wem","1","36048","35,2","","","","","144981","","0"
"773607919","915427969","476802863","14441920","14441920.wem","1","56158","54,84","","","","","211111","","0"
"3369576424","873309786","47130983","15140111","15140111.wem","1","9769","9,54","","","","","36970","","0"
"2258699595","50072444","567810603","15806715","15806715.wem","1","22583","22,05","","","","","83967","","0"
"781885249","714337614","15654722","16292482","16292482.wem","1","8094","7,9","","","","","30799","","0"
"883889954","723039354","321721880","16413068","16413068.wem","1","18558","18,12","","","","","72741","","0"
"2002073954","17647476","120599715","16526771","16526771.wem","1","40766","39,81","","","","","133802","","0"
"802631416","694764823","790485450","18029859","18029859.wem","1","24536","23,96","","","","","87543","","0"
"3995398616","752129565","466078840","18903818","18903818.wem","1","13349","13,04","","","","","48810","","0"
"1213289082","391161149","714851924","20696694","20696694.wem","2","33677","32,89","","","","","144835","","0"
"2875567305","556933342","658714248","21773969","21773969.wem","1","58053","56,69","","","","","217429","","0"
"1998947918","907058655","670825254","21967293","21967293.wem","1","35040","34,22","","","","","109930","","0"
"1429877993","265058403","995042558","23415599","23415599.wem","1","85661","83,65","","","","","338687","","0"
"1019406461","443491341","501279652","23618156","23618156.wem","1","25225","24,63","","","","","88405","","0"
"188116871","345774950","119052737","24774449","24774449.wem","1","21237","20,74","","","","","77141","","0"
"552504920","730966312","97372912","25842541","25842541.wem","1","48596","47,46","","","","","179733","","0"
"3198991555","758593958","174490978","25982441","25982441.wem","1","16033","15,66","","","","","56661","","0"
"3472040852","196711582","997226037","27039803","27039803.wem","1","18321","17,89","","","","","68679","","0"
"2603168646","81192648","1010532790","27253652","27253652.wem","1","68611","67","","","","","252245","","0"
"4203819135","692325295","30745212","27512562","27512562.wem","1","46911","45,81","","","","","175491","","0"
"3929961970","308025054","213205006","27985417","27985417.wem","1","33967","33,17","","","","","126921","","0"
"898631403","448464765","147618033","28006126","28006126.wem","1","32419","31,66","","","","","122562","","0"
"355854794","43874702","777852873","28391928","28391928.wem","1","11081","10,82","","","","","29437","","0"
